station_name,station_id,MEAN_GAP,UNC_MEAN_GAP
ParkStreet,70199,"ModeResult(mode=array([0.]), count=array([94]))",21.598785825826305
ParkStreet,70198,"ModeResult(mode=array([30.]), count=array([33]))",63.53318132430919
GovernmentCenter,70202,"ModeResult(mode=array([8.]), count=array([33]))",19.349086476283723
NewtonCentre,70171,"ModeResult(mode=array([-12.]), count=array([27]))",68.1630175425577
Eliot,70166,"ModeResult(mode=array([0.]), count=array([98]))",65.6734395886772
Haymarket,70204,"ModeResult(mode=array([6.]), count=array([36]))",31.0560920703451
GovernmentCenter,70201,"ModeResult(mode=array([84.]), count=array([20]))",44.53811298423908
Eliot,70167,"ModeResult(mode=array([14.]), count=array([29]))",70.76574488447267
NewtonCentre,70170,"ModeResult(mode=array([0.]), count=array([70]))",56.73883822476305
Lechmere,70210,"ModeResult(mode=array([-2.]), count=array([48]))",102.29595555815877
ChestnutHill,70172,"ModeResult(mode=array([0.]), count=array([77]))",82.29387893730612
Haymarket,70203,"ModeResult(mode=array([8.]), count=array([28]))",28.23995082441817
ChestnutHill,70173,"ModeResult(mode=array([-10.]), count=array([27]))",62.804776865340706
ParkStreet,70200,"ModeResult(mode=array([30.]), count=array([25]))",26.417318629549708
Boylston,70158,"ModeResult(mode=array([6.]), count=array([42]))",5.803297117157389
Fenway,70187,"ModeResult(mode=array([40.]), count=array([37]))",84.03263145035527
Copley,70155,"ModeResult(mode=array([8.]), count=array([38]))",13.815552811575868
Copley,70154,"ModeResult(mode=array([12.]), count=array([43]))",9.353716175042205
SciencePark,70207,"ModeResult(mode=array([-4.]), count=array([28]))",87.64690442134327
Fenway,70186,"ModeResult(mode=array([0.]), count=array([41]))",58.06420815370147
Boylston,70159,"ModeResult(mode=array([6.]), count=array([51]))",11.59637505849731
BrooklineVillage,70180,"ModeResult(mode=array([0.]), count=array([38]))",62.93585692972785
Kenmore,71150,"ModeResult(mode=array([35.]), count=array([7]))",14.254815178120252
BrooklineHills,70178,"ModeResult(mode=array([0.]), count=array([41]))",79.12322798113631
BrooklineHills,70179,"ModeResult(mode=array([0.]), count=array([36]))",83.06705175216902
Kenmore,71151,"ModeResult(mode=array([-27.]), count=array([7]))",46.84601402646518
BrooklineVillage,70181,"ModeResult(mode=array([0.]), count=array([38]))",60.55515433561835
Woodland,70162,"ModeResult(mode=array([0.]), count=array([78]))",56.840127930538905
NorthStation,70206,"ModeResult(mode=array([9.]), count=array([33]))",29.414889050998156
SciencePark,70208,"ModeResult(mode=array([0.]), count=array([121]))",24.64272988221153
Woodland,70163,"ModeResult(mode=array([0.]), count=array([29]))",84.27674631741223
NorthStation,70205,"ModeResult(mode=array([30.]), count=array([23]))",129.042426147408
HynesConventionCenter,70153,"ModeResult(mode=array([3.]), count=array([35]))",41.339367137001126
Arlington,70156,"ModeResult(mode=array([11.]), count=array([39]))",7.883937665084887
Arlington,70157,"ModeResult(mode=array([8.]), count=array([41]))",12.067821502394159
HynesConventionCenter,70152,"ModeResult(mode=array([12.]), count=array([51]))",18.985720069584048
Reservoir,70175,"ModeResult(mode=array([24.]), count=array([24]))",82.66195723484256
Reservoir,70174,"ModeResult(mode=array([0.]), count=array([52]))",87.76651119995516
NewtonHighlands,70169,"ModeResult(mode=array([50.]), count=array([27]))",68.5429478806359
NewtonHighlands,70168,"ModeResult(mode=array([0.]), count=array([91]))",62.97487935768801
Kenmore,70151,"ModeResult(mode=array([5.]), count=array([39]))",44.14917781131087
Longwood,70182,"ModeResult(mode=array([0.]), count=array([46]))",49.727125028172935
ParkStreet,70196,"ModeResult(mode=array([21.]), count=array([32]))",39.88286695545176
Waban,70165,"ModeResult(mode=array([10.]), count=array([25]))",75.8705938064237
Waban,70164,"ModeResult(mode=array([0.]), count=array([107]))",68.11832201522144
ParkStreet,70197,"ModeResult(mode=array([0.]), count=array([52]))",30.83828015100609
Longwood,70183,"ModeResult(mode=array([36.]), count=array([33]))",70.28187516532756
Kenmore,70150,"ModeResult(mode=array([4.]), count=array([34]))",20.80560334534077
Beaconsfield,70176,"ModeResult(mode=array([0.]), count=array([52]))",80.98738158864978
Beaconsfield,70177,"ModeResult(mode=array([20.]), count=array([26]))",79.76157327743582
Riverside,70160,"ModeResult(mode=array([191.]), count=array([19]))",278.25806782240045
